Chunk (0, 0, 0) | Triangles: 440
idx | VertA | VertB | VertC | maxEdge
 126 | (5,09,7,00,4,00) | (5,00,7,00,4,24) | (5,00,6,87,5,00) | 1,01
 127 | (6,48,6,00,4,00) | (6,00,6,27,5,00) | (6,27,6,00,5,00) | 1,14
 128 | (2,91,7,00,4,00) | (3,00,7,00,4,24) | (3,00,7,00,4,00) | 0,26
 129 | (3,76,7,00,5,00) | (3,00,7,00,4,00) | (3,00,7,00,4,24) | 1,25
 130 | (5,00,7,00,4,24) | (4,00,7,00,5,00) | (4,24,7,00,5,00) | 1,25
 131 | (5,09,7,00,4,00) | (5,00,7,00,4,00) | (5,00,7,00,4,24) | 0,26
 132 | (3,00,1,00,4,00) | (2,91,1,00,4,00) | (3,00,1,00,3,76) | 0,26
 133 | (3,76,1,00,3,00) | (3,00,1,00,4,00) | (3,00,1,00,3,76) | 1,25
 134 | (5,00,1,00,3,76) | (4,00,1,00,3,00) | (4,24,1,00,3,00) | 1,25
 135 | (5,00,1,00,3,76) | (5,09,1,00,4,00) | (5,00,1,00,4,00) | 0,26
 136 | (2,00,1,52,4,00) | (1,73,2,00,3,00) | (2,00,1,73,3,00) | 1,14
 137 | (3,00,1,00,3,76) | (2,91,1,00,4,00) | (2,00,1,52,4,00) | 1,15
 138 | (3,76,1,00,3,00) | (3,00,1,00,3,76) | (3,00,1,13,3,00) | 1,07
 139 | (4,24,1,00,3,00) | (5,00,1,13,3,00) | (5,00,1,00,3,76) | 1,07
 140 | (5,09,1,00,4,00) | (5,00,1,00,3,76) | (5,00,1,13,3,00) | 1,01
 141 | (6,48,2,00,4,00) | (6,00,1,73,3,00) | (6,27,2,00,3,00) | 1,14
 142 | (1,00,2,91,4,00) | (1,00,3,00,4,00) | (1,00,3,00,3,76) | 0,26
 143 | (1,00,2,91,4,00) | (1,00,3,00,3,76) | (1,13,3,00,3,00) | 1,01
 144 | (7,00,3,00,3,76) | (7,00,2,91,4,00) | (6,48,2,00,4,00) | 1,15
 145 | (7,00,3,00,3,76) | (7,00,3,00,4,00) | (7,00,2,91,4,00) | 0,26
 146 | (1,00,3,00,3,76) | (1,00,4,00,3,00) | (1,00,3,76,3,00) | 1,25
 147 | (1,13,3,00,3,00) | (1,00,3,00,3,76) | (1,00,3,76,3,00) | 1,07
 148 | (6,87,3,00,3,00) | (7,00,3,76,3,00) | (7,00,3,00,3,76) | 1,07
 149 | (7,00,3,76,3,00) | (7,00,3,00,4,00) | (7,00,3,00,3,76) | 1,25
 150 | (4,00,1,00,3,00) | (3,76,1,00,3,00) | (4,00,1,00,2,91) | 0,26
 151 | (4,00,1,00,2,91) | (4,24,1,00,3,00) | (4,00,1,00,3,00) | 0,26
 152 | (2,00,1,73,3,00) | (1,73,2,00,3,00) | (2,00,2,00,2,57) | 0,51
